client_no,attrition_flag,customer_age,gender,education_level,marital_status,income_category,card_category,months_on_book,months_inactive_12_mon,credit_limit,total_revolving_bal,total_trans_amt,avg_utilization_ratio
719580033,Existing Customer,54,M,Graduate,Unknown,$60K - $80K,Blue,43,2,2910,2030,1256,0.698
820582308,Existing Customer,42,M,Uneducated,Married,$80K - $120K,Blue,37,2,22913,1528,1394,0.067
789973308,Existing Customer,44,M,College,Single,$60K - $80K,Blue,35,3,24312,1932,1341,0.079
712876233,Existing Customer,53,M,Graduate,Single,$80K - $120K,Blue,36,3,5272,1515,1289,0.287
804595158,Existing Customer,44,F,Graduate,Single,Less than $40K,Blue,36,4,7000,2517,1112,0.36
714826758,Existing Customer,37,F,Uneducated,Single,Less than $40K,Blue,29,4,7038,1801,2339,0.256
779058108,Existing Customer,49,M,Graduate,Divorced,$60K - $80K,Blue,30,1,2536,1823,1468,0.719
710790258,Existing Customer,47,M,Graduate,Married,$80K - $120K,Blue,38,3,28904,1899,1334,0.066
715623483,Existing Customer,47,M,Graduate,Married,$60K - $80K,Blue,37,4,8567,1695,1457,0.198
715156383,Existing Customer,44,M,Unknown,Unknown,$120K +,Blue,36,2,34516,1533,1603,0.044
711013983,Attrited Customer,55,F,Unknown,Married,$40K - $60K,Blue,45,4,2158,0,615,0
755420433,Existing Customer,59,F,Graduate,Married,Unknown,Blue,52,3,10133,1417,1068,0.14
794543958,Existing Customer,53,M,Graduate,Divorced,$80K - $120K,Blue,35,4,34516,1219,1590,0.035
716396358,Existing Customer,52,M,Graduate,Married,$60K - $80K,Blue,47,3,3085,1910,1531,0.619
715398033,Existing Customer,53,M,High School,Single,$120K +,Blue,35,2,19040,2056,1212,0.108
711743883,Existing Customer,43,F,Uneducated,Single,Less than $40K,Blue,35,2,4026,0,1237,0
719720058,Existing Customer,44,M,High School,Single,$60K - $80K,Blue,31,3,12756,837,1413,0.066
778992108,Existing Customer,57,M,Unknown,Married,$120K +,Blue,45,3,5266,0,1516,0
717539808,Existing Customer,51,F,High School,Single,Less than $40K,Blue,36,2,9930,0,1276,0
714070758,Existing Customer,49,M,High School,Single,$80K - $120K,Blue,38,3,31302,1953,1564,0.062
714107958,Existing Customer,45,M,Graduate,Single,$40K - $60K,Blue,36,4,6576,0,1465,0
789140283,Existing Customer,53,M,Graduate,Single,$80K - $120K,Blue,42,4,2664,2037,1286,0.765
715550508,Existing Customer,45,F,Unknown,Married,Unknown,Blue,28,1,2535,2440,1312,0.963
719712633,Existing Customer,64,M,Graduate,Married,Less than $40K,Blue,52,4,1709,895,1673,0.524
772629333,Existing Customer,45,M,Graduate,Married,$40K - $60K,Blue,35,4,3454,1200,1313,0.347
720336708,Existing Customer,53,M,Doctorate,Married,$40K - $60K,Blue,35,3,3789,1706,1609,0.45
802013583,Existing Customer,56,M,College,Married,$120K +,Blue,50,2,9689,2250,1158,0.232
711887583,Attrited Customer,47,M,Unknown,Married,$80K - $120K,Blue,37,3,5449,1628,836,0.299
714778833,Existing Customer,49,F,College,Single,Unknown,Blue,43,4,23032,1960,1289,0.085
713843283,Existing Customer,41,F,Unknown,Married,Unknown,Silver,34,3,34516,2053,1487,0.059
779155158,Existing Customer,53,M,Graduate,Married,$120K +,Blue,34,2,2940,1264,1259,0.43
721091583,Existing Customer,44,F,Graduate,Single,Less than $40K,Blue,32,3,3031,1879,1298,0.62
713572683,Existing Customer,44,M,High School,Unknown,$60K - $80K,Blue,25,3,1862,0,1226,0
716657058,Existing Customer,43,F,Post-Graduate,Married,Less than $40K,Blue,33,3,8358,926,1566,0.111
779509983,Existing Customer,53,M,Post-Graduate,Single,$120K +,Blue,36,1,34516,931,1022,0.027
717929133,Existing Customer,44,M,Uneducated,Married,$60K - $80K,Blue,36,2,14450,2440,1235,0.169
808284783,Existing Customer,62,F,Unknown,Married,Less than $40K,Blue,56,0,1438.3,0,1951,0
708476808,Existing Customer,54,M,Unknown,Divorced,$120K +,Blue,36,3,33791,1960,1047,0.058
710916408,Existing Customer,57,M,Graduate,Married,$60K - $80K,Blue,39,3,8466,1886,1342,0.223
708492558,Existing Customer,42,M,Unknown,Married,$60K - $80K,Blue,36,3,15088,865,1107,0.057
799825758,Existing Customer,42,M,High School,Divorced,$60K - $80K,Blue,36,1,3263,1674,1251,0.513
718619883,Existing Customer,54,F,Uneducated,Married,Less than $40K,Blue,36,2,1494,706,1305,0.473
711844758,Existing Customer,48,M,Graduate,Single,$80K - $120K,Blue,35,1,13551,1294,1388,0.095
714798783,Existing Customer,49,M,Graduate,Single,$80K - $120K,Blue,36,2,18886,895,1235,0.047
826762908,Existing Customer,52,M,High School,Unknown,$80K - $120K,Blue,48,2,11976,1273,2089,0.106
771894558,Existing Customer,50,M,High School,Single,$80K - $120K,Blue,39,1,9964,1559,1626,0.156
721074183,Existing Customer,49,M,Doctorate,Married,$60K - $80K,Blue,36,6,24159,1196,1111,0.05
715259583,Existing Customer,53,F,High School,Married,Less than $40K,Blue,44,2,5362,1901,1553,0.355
718414008,Existing Customer,50,M,Graduate,Single,$120K +,Blue,36,2,34516,1023,1064,0.03
719666283,Existing Customer,55,F,Doctorate,Married,Less than $40K,Blue,36,1,3174,1951,1243,0.615
714877233,Existing Customer,53,M,High School,Married,$80K - $120K,Blue,47,2,12262,1836,1659,0.15
785387883,Existing Customer,47,F,High School,Single,$40K - $60K,Blue,41,3,3788,1540,1594,0.407
771075258,Existing Customer,55,M,College,Single,$120K +,Silver,42,3,34516,1527,1268,0.044
711318033,Existing Customer,47,M,Graduate,Single,$60K - $80K,Blue,36,2,2926,0,1304,0
783554958,Existing Customer,58,M,Graduate,Single,$120K +,Blue,52,1,32090,0,1368,0
720201033,Attrited Customer,53,M,Graduate,Married,$80K - $120K,Blue,41,3,11669,2227,720,0.191
718039683,Existing Customer,52,M,High School,Single,$40K - $60K,Blue,45,1,13532,1300,1521,0.096
710806083,Existing Customer,50,F,Uneducated,Unknown,Less than $40K,Silver,36,2,11888,2090,1137,0.176
714752208,Existing Customer,42,F,Graduate,Married,Less than $40K,Blue,36,1,2393,1985,978,0.83
822063408,Existing Customer,43,M,Unknown,Married,$40K - $60K,Blue,39,1,6111,2517,1221,0.412
714490308,Existing Customer,57,M,Graduate,Married,$80K - $120K,Blue,46,2,19270,1662,1565,0.086
713356833,Existing Customer,52,M,Graduate,Married,$80K - $120K,Blue,43,1,3710,2517,1578,0.678
711402333,Existing Customer,47,M,Doctorate,Single,Less than $40K,Blue,37,1,3235,797,1493,0.246
708296883,Existing Customer,44,F,Graduate,Single,$40K - $60K,Blue,38,1,11749,788,1178,0.067
719154483,Existing Customer,53,M,High School,Divorced,$60K - $80K,Blue,36,3,7753,2100,991,0.271
717721458,Existing Customer,45,M,College,Divorced,$60K - $80K,Blue,40,1,10408,1186,2560,0.114
711112683,Existing Customer,63,F,College,Married,Unknown,Blue,36,2,3967,1568,1657,0.395
715674483,Existing Customer,39,F,Post-Graduate,Single,Less than $40K,Blue,27,2,6205,2517,1204,0.406
789322833,Attrited Customer,48,F,High School,Married,Less than $40K,Blue,38,3,8025,0,673,0
789968058,Existing Customer,51,M,Unknown,Single,$120K +,Blue,42,2,9036,2327,1131,0.258
709919283,Existing Customer,54,M,Graduate,Married,$80K - $120K,Blue,34,3,14926,2517,1576,0.169
718744008,Existing Customer,59,F,Graduate,Single,Less than $40K,Blue,36,2,6335,1128,1217,0.178
767712558,Attrited Customer,59,M,College,Single,$60K - $80K,Blue,53,3,14979,0,530,0
712950783,Attrited Customer,48,F,Uneducated,Married,Less than $40K,Blue,38,2,2732,0,739,0
716104983,Existing Customer,41,F,Graduate,Single,Less than $40K,Blue,32,3,2250,2117,1617,0.941
818839983,Existing Customer,55,M,Graduate,Married,$120K +,Blue,50,2,10916,1536,1592,0.141
772288758,Existing Customer,47,F,Graduate,Married,Unknown,Blue,36,1,5349,1228,1343,0.23
712350858,Existing Customer,41,M,High School,Married,$80K - $120K,Blue,24,1,9366,1104,1303,0.118
711009708,Existing Customer,40,M,High School,Single,$80K - $120K,Blue,28,1,21617,0,1351,0
712720158,Existing Customer,68,M,Graduate,Married,Unknown,Blue,56,2,13860,1652,1910,0.119
712215258,Existing Customer,50,F,Graduate,Single,$40K - $60K,Silver,31,2,18386,0,1298,0
773827008,Existing Customer,47,M,Uneducated,Single,$60K - $80K,Blue,41,2,2405,1540,1087,0.64
795232683,Existing Customer,53,F,College,Married,Less than $40K,Blue,47,2,2154,930,1439,0.432
713786508,Existing Customer,42,F,Unknown,Married,$40K - $60K,Blue,36,3,2038,0,1238,0
713539833,Existing Customer,48,F,High School,Single,$40K - $60K,Blue,38,1,8135,0,1716,0
712454058,Existing Customer,49,M,Doctorate,Married,$120K +,Blue,38,1,9364,618,1099,0.066
718759833,Existing Customer,44,F,Uneducated,Married,Unknown,Silver,35,3,32643,0,1058,0
718803333,Existing Customer,43,F,Graduate,Divorced,Less than $40K,Blue,34,3,3195,1954,1285,0.612
720253908,Existing Customer,56,M,High School,Married,$80K - $120K,Blue,43,2,2852,1024,1651,0.359
714133158,Existing Customer,59,F,College,Single,Unknown,Blue,36,3,4224,1305,1152,0.309
713187033,Existing Customer,46,M,Uneducated,Married,$60K - $80K,Blue,36,2,20459,2071,1767,0.101
714791208,Existing Customer,47,F,Unknown,Divorced,Less than $40K,Blue,41,5,3482,2114,1039,0.607
772426383,Existing Customer,50,F,Uneducated,Married,$40K - $60K,Blue,40,2,3065,1570,1130,0.512
710975883,Existing Customer,51,F,Uneducated,Married,Less than $40K,Blue,43,1,2185,1761,1645,0.806
714264408,Existing Customer,47,F,Uneducated,Married,Less than $40K,Blue,36,1,1611,746,1413,0.463
715827858,Existing Customer,58,F,Uneducated,Married,Less than $40K,Blue,47,3,2822,2173,1218,0.77
713741358,Attrited Customer,46,M,Graduate,Single,$80K - $120K,Blue,33,3,32975,2517,597,0.076
709531908,Existing Customer,53,M,High School,Married,$60K - $80K,Blue,47,2,1438.3,0,2184,0
716493408,Existing Customer,45,F,Uneducated,Divorced,Unknown,Blue,36,3,15875,1719,1592,0.108
714141108,Existing Customer,52,F,High School,Married,Less than $40K,Blue,45,3,6703,893,1388,0.133
708953883,Attrited Customer,53,M,Unknown,Married,$80K - $120K,Blue,36,2,3212,0,757,0
712608783,Existing Customer,50,M,High School,Married,$80K - $120K,Silver,45,1,34516,1260,1504,0.037
820353558,Existing Customer,41,F,High School,Married,$40K - $60K,Blue,36,1,9797,1434,1503,0.146
714964758,Existing Customer,45,F,Graduate,Divorced,$40K - $60K,Blue,36,2,10400,1777,1105,0.171
716264358,Existing Customer,53,M,Uneducated,Married,$80K - $120K,Blue,42,1,26792,1836,2398,0.069
717296808,Existing Customer,67,F,Graduate,Married,Less than $40K,Blue,56,3,3006,2517,1661,0.837
712977183,Existing Customer,57,F,Uneducated,Single,$40K - $60K,Silver,36,3,19482,1072,1421,0.055
710829108,Existing Customer,59,F,Uneducated,Married,$40K - $60K,Blue,36,2,3356,985,999,0.294
779562633,Existing Customer,45,M,Uneducated,Married,$40K - $60K,Blue,34,2,5771,2248,1387,0.39
715315833,Existing Customer,51,M,Graduate,Married,$80K - $120K,Blue,36,2,11106,2107,1243,0.19
815500983,Existing Customer,59,F,Uneducated,Married,Less than $40K,Blue,54,3,2890,2001,1860,0.692
719360583,Existing Customer,53,M,Graduate,Married,$60K - $80K,Blue,45,2,3380,1701,1502,0.503
709701558,Existing Customer,47,M,Graduate,Married,$60K - $80K,Blue,36,1,21331,1251,1460,0.059
721148358,Existing Customer,49,F,Uneducated,Single,Unknown,Blue,38,2,12860,0,1348,0
779862408,Existing Customer,49,M,Post-Graduate,Single,$80K - $120K,Blue,33,1,6278,462,1087,0.074
812627208,Existing Customer,60,F,College,Single,Less than $40K,Blue,55,1,1438.3,738,1226,0.513
711033408,Existing Customer,50,F,High School,Married,Less than $40K,Blue,36,1,9355,1626,1230,0.174
779956608,Existing Customer,41,F,Post-Graduate,Married,Unknown,Blue,31,1,20758,0,1555,0
780376683,Existing Customer,57,M,Graduate,Married,$80K - $120K,Blue,47,3,14612,1976,1827,0.135
717912483,Existing Customer,43,M,Graduate,Unknown,$80K - $120K,Blue,27,2,27259,0,1376,0
714454758,Existing Customer,57,F,Graduate,Married,Less than $40K,Blue,47,2,6347,1594,1771,0.251
780466533,Existing Customer,54,M,Doctorate,Married,$120K +,Blue,41,3,21592,1676,1873,0.078
715735233,Existing Customer,51,F,Post-Graduate,Married,Less than $40K,Blue,44,1,3449,1598,1679,0.463
720476733,Existing Customer,47,F,High School,Married,Less than $40K,Blue,34,1,6028,799,1002,0.133
715872333,Existing Customer,41,M,High School,Unknown,$120K +,Blue,36,2,18214,1998,1344,0.11
712375758,Existing Customer,53,M,Uneducated,Married,$80K - $120K,Blue,43,3,16393,1423,1461,0.087
708868233,Attrited Customer,68,M,High School,Married,Less than $40K,Blue,52,3,1438.3,900,760,0.626
718030083,Existing Customer,59,M,College,Married,$60K - $80K,Blue,36,1,7871,1687,1428,0.214
720707283,Existing Customer,48,M,Unknown,Married,$80K - $120K,Blue,36,3,5288,866,1777,0.164
771698658,Existing Customer,44,M,Graduate,Married,$60K - $80K,Blue,32,5,11376,2006,1302,0.176
748326258,Existing Customer,48,M,College,Married,$80K - $120K,Blue,41,5,12302,1632,1483,0.133
770817783,Existing Customer,47,M,Graduate,Married,$60K - $80K,Silver,33,2,34516,1679,1060,0.049
779353083,Existing Customer,47,M,Graduate,Married,$60K - $80K,Silver,32,2,34516,1468,1330,0.043
711441333,Existing Customer,43,F,High School,Divorced,Less than $40K,Silver,35,2,10514,1580,1229,0.15
719808558,Attrited Customer,55,F,Graduate,Married,Less than $40K,Blue,43,4,1438.3,0,886,0
711551958,Attrited Customer,59,M,Post-Graduate,Married,$60K - $80K,Blue,46,3,1438.3,0,844,0
809164083,Existing Customer,63,M,Graduate,Married,$40K - $60K,Blue,56,1,2619,1779,1450,0.679
820596183,Existing Customer,58,M,College,Married,$120K +,Blue,53,3,24407,2395,2311,0.098
715999608,Existing Customer,53,F,High School,Married,Less than $40K,Blue,36,1,2377,1649,1378,0.694
710565408,Existing Customer,59,M,Unknown,Unknown,$80K - $120K,Silver,40,2,34516,1359,1033,0.039
805543158,Existing Customer,52,M,Graduate,Married,$120K +,Blue,47,3,11086,2207,1523,0.199
709752183,Existing Customer,48,M,High School,Single,$60K - $80K,Blue,36,2,11432,2517,1374,0.22
716479233,Existing Customer,43,M,High School,Married,$40K - $60K,Blue,36,3,13258,1721,1080,0.13
713837058,Existing Customer,48,M,College,Single,Less than $40K,Blue,36,2,2571,1955,1234,0.76
718876683,Existing Customer,43,F,Graduate,Single,Less than $40K,Blue,31,2,5781,1168,1600,0.202
770746908,Existing Customer,44,M,Unknown,Married,$60K - $80K,Blue,30,1,7872,2509,1155,0.319
794843883,Existing Customer,41,M,High School,Married,$80K - $120K,Blue,35,1,34516,1202,1353,0.035
803043933,Existing Customer,44,F,Uneducated,Divorced,Less than $40K,Silver,38,1,11127,1835,1546,0.165
758076408,Existing Customer,50,M,Unknown,Single,$40K - $60K,Blue,43,1,1857,1603,1590,0.863
714606558,Existing Customer,60,F,Uneducated,Married,Less than $40K,Blue,36,1,1913,1272,1448,0.665
778425408,Existing Customer,44,M,Graduate,Single,$80K - $120K,Blue,24,3,3839,2295,1271,0.598
714171108,Existing Customer,48,F,Graduate,Divorced,$40K - $60K,Blue,39,2,2115,1141,1223,0.539
719662458,Existing Customer,44,F,Graduate,Divorced,Less than $40K,Blue,27,2,1438.3,679,1117,0.472
713137233,Existing Customer,41,M,High School,Single,$80K - $120K,Blue,28,3,27756,1789,994,0.064
769425858,Existing Customer,45,M,College,Single,$60K - $80K,Blue,32,1,1438.3,0,1468,0
711297483,Existing Customer,47,F,Uneducated,Divorced,Less than $40K,Silver,34,4,13878,2222,1658,0.16
788900883,Existing Customer,51,F,Graduate,Married,Less than $40K,Blue,36,1,3106,1304,1368,0.42
758348808,Existing Customer,51,M,Graduate,Married,$120K +,Blue,44,3,34516,1666,1218,0.048
772336458,Attrited Customer,60,F,Uneducated,Married,$40K - $60K,Blue,50,4,1438.3,1025,702,0.713
708711483,Existing Customer,57,M,Unknown,Married,$80K - $120K,Blue,46,3,18871,1740,1516,0.092
717906783,Existing Customer,41,M,Graduate,Single,$120K +,Blue,29,2,5207,1748,1310,0.336
719437908,Existing Customer,44,M,Post-Graduate,Divorced,$80K - $120K,Blue,36,2,17965,1644,1767,0.092
769433508,Existing Customer,43,M,College,Single,$60K - $80K,Blue,37,3,2733,1819,933,0.666
790096533,Existing Customer,55,M,College,Married,$60K - $80K,Blue,48,3,8863,1301,1512,0.147
720997383,Attrited Customer,52,M,Uneducated,Married,$80K - $120K,Blue,36,3,1857,1833,829,0.987
787541883,Existing Customer,44,M,Graduate,Unknown,$80K - $120K,Blue,33,3,34516,0,1120,0
709930758,Existing Customer,41,M,Uneducated,Married,$40K - $60K,Blue,30,3,11107,1222,1506,0.11
789830058,Existing Customer,44,M,Unknown,Single,$80K - $120K,Blue,34,1,21573,1585,1384,0.073
710299608,Attrited Customer,53,F,Unknown,Married,Less than $40K,Blue,33,3,2859,2517,817,0.88
710741208,Existing Customer,39,M,High School,Single,$80K - $120K,Blue,36,2,5269,1475,2094,0.28
821797008,Attrited Customer,49,M,College,Married,$40K - $60K,Blue,45,2,1438.3,0,815,0
708874533,Attrited Customer,45,F,College,Married,Less than $40K,Blue,36,3,3387,0,510,0
715341858,Existing Customer,54,M,Graduate,Married,$80K - $120K,Blue,46,2,1982,1289,1377,0.65
793636308,Existing Customer,49,M,Uneducated,Single,$80K - $120K,Blue,43,2,4645,1650,1193,0.355
713779908,Existing Customer,46,F,Doctorate,Single,Unknown,Blue,36,3,2189,1666,1287,0.761
712125258,Attrited Customer,46,M,High School,Married,$120K +,Blue,30,3,2442,0,701,0
709703433,Existing Customer,47,M,Graduate,Married,$60K - $80K,Blue,38,1,21304,1532,1770,0.072
721022433,Existing Customer,44,M,Doctorate,Single,$60K - $80K,Blue,36,1,7577,2480,1409,0.327
710103558,Existing Customer,50,M,Post-Graduate,Single,$120K +,Blue,31,1,3234,1486,1354,0.459
715952883,Existing Customer,73,M,High School,Married,$40K - $60K,Blue,36,3,4469,1125,1765,0.252
719731458,Existing Customer,56,M,Unknown,Unknown,$40K - $60K,Blue,46,3,2910,709,1192,0.244
772390908,Attrited Customer,59,M,High School,Single,$40K - $60K,Blue,48,4,3616,1054,687,0.291
787348608,Existing Customer,70,M,High School,Married,Less than $40K,Blue,56,2,3252,1495,1227,0.46
709485033,Existing Customer,55,F,High School,Married,Less than $40K,Blue,36,3,2358,1152,1737,0.489
715432608,Existing Customer,43,M,Unknown,Single,$60K - $80K,Blue,36,1,22322,953,1348,0.043
799471833,Existing Customer,45,M,Uneducated,Single,$120K +,Blue,39,2,3133,1510,1435,0.482
714187533,Existing Customer,45,F,Uneducated,Single,$40K - $60K,Blue,35,3,3540,849,1321,0.24
779656908,Existing Customer,40,M,Graduate,Married,$40K - $60K,Blue,23,3,6990,1378,1479,0.197
788950158,Existing Customer,36,M,College,Unknown,$80K - $120K,Blue,22,2,34516,1652,1283,0.048
778867533,Attrited Customer,59,F,Post-Graduate,Married,$40K - $60K,Blue,40,4,1438.3,0,689,0
710620383,Existing Customer,43,M,Unknown,Married,$60K - $80K,Blue,35,3,24396,1171,965,0.048
778661358,Existing Customer,46,F,Unknown,Married,Less than $40K,Blue,36,3,2474,2143,1541,0.866
789483333,Existing Customer,41,M,Uneducated,Married,$40K - $60K,Blue,32,1,5214,795,1258,0.152
809855808,Existing Customer,51,F,Graduate,Married,Less than $40K,Blue,46,2,5207,1650,1339,0.317
718464258,Existing Customer,51,F,Unknown,Unknown,Less than $40K,Blue,25,2,9512,1082,1007,0.114
708528483,Existing Customer,43,F,Graduate,Divorced,Unknown,Blue,23,3,3187,2430,1387,0.762
771809733,Attrited Customer,64,F,High School,Married,$40K - $60K,Blue,53,3,3353,0,960,0
719942883,Existing Customer,54,M,Graduate,Married,$60K - $80K,Blue,38,3,2290,1434,1119,0.626
807226683,Existing Customer,48,M,Unknown,Single,$40K - $60K,Blue,43,1,5279,1115,1642,0.211
717806133,Existing Customer,40,M,Uneducated,Divorced,$60K - $80K,Blue,29,3,23603,0,1382,0
720615708,Existing Customer,57,M,Uneducated,Married,$40K - $60K,Blue,45,2,2601,0,1232,0
